"What gap in Module 1's `@Input()` knowledge does Module 2 close?","Module 1 only showed reading an `@Input()` once, safely, in `ngOnInit`. Module 2 covers what happens when an `@Input()` value CHANGES after the component already exists — `ngOnInit` never runs again, so a different mechanism is needed."
"In an Angular component hierarchy, can a grandchild component pass data directly to its grandparent, or a component talk directly to a sibling?","No. Data only flows down via `@Input()` to a DIRECT child, and events only flow up via `@Output()` to a DIRECT parent. There is no built-in shortcut — communication across levels or between siblings must be relayed one hop at a time through the parent (or later, via shared services with DI)."
"Why is 'the parent is the switchboard' the standard pattern for sibling communication?","Angular provides no sibling-to-sibling binding mechanism — templates only bind to their own direct children. Routing all shared state through one parent also keeps data flow traceable: you can inspect one component to understand the whole feature's state."
"If a grandchild component needs to affect a distant ancestor, how must the event travel?","It must be relayed one level at a time: the grandchild emits `@Output()` to its direct parent, whose handler explicitly re-emits its own `@Output()` (or calls a method) that its own parent listens to, and so on up the tree."
"Why doesn't `ngOnInit` re-run when a parent updates an already-set `@Input()`?","`ngOnInit` is a strictly one-time hook — it fires only once, right after the FIRST input assignment. It has no mechanism to detect or react to subsequent changes."
"What are the two ways to react to a changing `@Input()`, and when should you use each?","An `@Input()` setter (`@Input() set prop(value) {...}`) for reacting to ONE input with simple logic. `ngOnChanges` for reacting to MULTIPLE inputs together, or when you need the PREVIOUS value for comparison."
"What information does an `@Input()` setter give you that a plain `@Input()` property does not?","It lets you run code every time the parent assigns a new value to that specific input — a plain property only gets read passively wherever you access it, with no hook into the moment it changes."
"Why must you replace an `@Input()` object/array instead of mutating it in place (e.g. `this.settings.maxLength = 200`)?","Angular's default change detection and `ngOnChanges` compare objects BY REFERENCE. Mutating properties in place keeps the same reference, so Angular may not notice the change. Replacing it (`this.settings = {...this.settings, maxLength: 200}`) gives a new reference Angular can detect."
"Why should you always type `EventEmitter<T>` with a specific type instead of leaving it untyped?","An untyped `EventEmitter()` defaults to `EventEmitter<any>`, which compiles but silently loses the type-safety net that would otherwise catch a parent handler expecting the wrong data shape."
"When should a child component NOT use `@Output()` to expose a value?","When the value is only for live display and the parent already owns the source data — the parent can often compute what it needs directly, without a round-trip through the child. `@Output()` is for cases where the child knows something the parent doesn't (like exact keystroke timing)."
"Which three lifecycle hooks are in Module 2's scope, and what does each represent?","`ngOnChanges` (fires on every @Input() change, including the first), `ngOnInit` (fires exactly once, after the first ngOnChanges), and `ngOnDestroy` (fires exactly once, right before the component is removed)."
"What is the guaranteed order of: constructor, `ngOnInit`, and the first `ngOnChanges`?","constructor → ngOnChanges (first call) → ngOnInit. ngOnChanges fires before the first ngOnInit, once inputs are set."
"Why is `implements OnChanges, OnInit, OnDestroy` worth adding even though Angular calls these methods by name regardless?","It's a free TypeScript correctness check: without the interface, misspelling a hook name (e.g. `ngOnDestory`) silently means the method never runs, with no warning. With the interface implemented, TypeScript catches the typo at compile time."
