"What is Angular, according to its own documentation?","A TypeScript-based, component-based application PLATFORM for building UIs — not just a rendering library. It ships with its own conventions for components, templates/binding, module organization, dependency injection, routing, and HTTP."
"What core problem does Angular's declarative data binding solve?","In vanilla JS you must manually re-run DOM-update code every time data changes (e.g. element.textContent = ...), and it's easy to forget a spot. Angular lets you describe the desired UI state declaratively, and it automatically keeps the DOM in sync when data changes."
"What three things make up every Angular component?","1) A class (TypeScript) holding data and logic. 2) A template (HTML with Angular syntax) describing what to render. 3) Styles scoped to that component."
"Is AngularJS the same framework as modern Angular?","No. AngularJS (1.x) used JavaScript, controllers, and $scope-based two-way binding. Modern Angular (2+) is a rewrite using TypeScript and a component-tree architecture designed for better performance and scalability."
"What command creates a brand-new Angular project?","`ng new my-app` — scaffolds the full file/folder structure, installs dependencies, and sets up TypeScript/build configuration."
"What does `ng serve` do?","Starts a local dev server (default http://localhost:4200) and watches your files, automatically rebuilding and refreshing the browser whenever you save a change (live reload)."
"What command generates a new component, and what does it create?","`ng generate component <name>` (short: `ng g component <name>`). It creates a folder with the component's class file (.ts), template (.html), stylesheet (.css), and a spec/test file, and automatically makes it usable elsewhere."
"In current Angular (v17+), do new components need to be registered in an NgModule?","No — current Angular defaults to standalone components, which are directly importable without any NgModule `declarations` registration. Older Angular versions required manual NgModule registration."
"What Angular building block is described as 'instructions attached to DOM elements/templates that change behavior or appearance'?","Directives (e.g. `*ngIf`, `*ngFor`, `ngClass`)."
"What does `{{ value }}` (interpolation) do, and in which direction does data flow?","Inserts the current value of a class property into the template as text. Data flows one-way: Class → Template."
"What does `[property]=""value""` (property binding) do, and in which direction does data flow?","Binds a component's data to an actual DOM element property (not just text) — e.g. `src`, `disabled`. Data flows one-way: Class → Template, and it passes the real evaluated value (boolean, number, object), not just a string."
"What does `(event)=""handler()""` (event binding) do, and in which direction does data flow?","Runs a component method in response to a DOM event like click or input. Data flows Template → Class (user interaction back into your component logic)."
"What does `[(ngModel)]=""value""` (two-way binding) do, and what must be imported to use it?","Combines property binding and event binding so data flows both ways at once (typically with form inputs). Requires `FormsModule` to be imported/added to the component's `imports: []` — unlike interpolation/property/event binding, it isn't available by default."
"Why does `<button disabled=""{{ isAvailable }}"">` NOT correctly disable/enable the button?","Interpolation inside an attribute produces a plain string, and in HTML the mere PRESENCE of the `disabled` attribute (any value, even 'false') disables the button. You need property binding `[disabled]=""!isAvailable""` so the actual boolean value is passed to the DOM property."
"What is `[(ngModel)]` literally shorthand for?","`[ngModel]=""dessertName"" (ngModelChange)=""dessertName = $event""` — property binding sets the value, event binding updates it on change ('banana in a box')."
"What special variable does Angular provide inside an event binding to access the native DOM event?","`$event` — e.g. `(input)=""onInput($event)""`."
"What are the two categories of Angular directives beyond components, and what does each change?","Structural directives (e.g. `*ngIf`, `*ngFor`) add/remove entire elements from the DOM, marked with a leading `*`. Attribute directives (e.g. `ngClass`, `ngStyle`) change the look/behavior of an element that already exists in the DOM, no leading `*`."
"What actually happens to an element and its child components when `*ngIf`'s condition becomes false?","Angular DESTROYS the element (and any component inside it) entirely, running cleanup — it does not just visually hide it like CSS `display: none`. If the condition becomes true again, it's recreated fresh, so any internal state resets."
"What does `*ngFor=""let dessert of desserts; let i = index""` give you access to?","`dessert` — the current item in the loop, and `i` — the zero-based index/position of that item."
"What is `trackBy` used for with `*ngFor`?","A performance optimization: a function (e.g. `trackByDessertId`) that returns a unique identifier per item, so Angular can efficiently track which DOM elements correspond to which data items across re-renders."
"Why can't you put `*ngIf` and `*ngFor` on the same element?","Angular doesn't allow two structural directives on one element (ambiguous order of operations). Instead wrap them across separate elements, e.g. put `*ngFor` on an `<ng-container>` and `*ngIf` on the element inside it."
"How does `[ngClass]=""{ 'sold-out': !dessert.available }""` work?","Takes an object where each key is a CSS class name and each value is a boolean expression; the class is applied when its condition is true and removed when false."
"When should you prefer `[class.sold-out]=""condition""` over `[ngClass]=""{...}""`?","When you only need to toggle a single class based on a single condition — it's simpler and arguably clearer than `ngClass`, which is better suited to multiple classes toggled by multiple independent conditions."
"When should you use `ngStyle` instead of `ngClass`?","Only when the value itself is dynamic/computed and can't reasonably be expressed as a fixed set of predefined CSS classes (e.g. a percentage-based width). Prefer `ngClass`/`[class.x]` otherwise, since predefined classes keep style in your CSS files and benefit from the cascade."
"What problem does `@Input`/`@Output` communication solve?","It gives components a defined way to talk to each other: a parent passes data DOWN to a child (`@Input`), and a child notifies the parent of events UP (`@Output` + `EventEmitter`) — without it, split-up components would have no clean way to communicate."
"How does a parent pass data to a child component using `@Input`?","The child marks a property with `@Input()` (e.g. `@Input() dessert!: {...}`); the parent uses ordinary property-binding syntax on the child's custom tag, e.g. `<app-dessert-card [dessert]=""d"">`."
"How does a child component notify its parent of an event using `@Output`?","The child declares `@Output() selected = new EventEmitter<T>();` and calls `this.selected.emit(value)` to fire it. The parent listens with ordinary event-binding syntax: `(selected)=""onDessertSelected($event)""`, where `$event` is whatever was passed to `.emit()`."
"Why does an `@Input()` property often need a `!` (non-null assertion) in TypeScript?","Angular sets `@Input()` values AFTER the class is constructed, not in the constructor, so at compile time the property isn't guaranteed to have a value yet. The `!` tells TypeScript 'trust me, this will be set before use.'"
"What is `ngOnInit`, and when does Angular call it?","A lifecycle method Angular calls automatically once, right after a component's `@Input()` properties have been set for the first time — a natural place for initial setup logic."
"Why shouldn't you read an `@Input()` value inside a component's constructor?","The constructor runs BEFORE Angular has finished setting `@Input()` properties from the parent, so reading it there can give `undefined`. `ngOnInit` runs after inputs are set, making it the safe place for input-dependent setup."
