"What is the primary difference between Angular and a library like React regarding built-in tooling?","Angular is a full, opinionated <b>platform</b> that includes built-in solutions for routing, forms, HTTP client, and CLI out of the box.<br><br>React is a <b>UI rendering library</b> where developers assemble third-party libraries for routing, state management, and HTTP."
"How does declarative data binding in Angular differ from imperative DOM manipulation in plain JavaScript?","<b>Imperative (Vanilla JS):</b> You manually write step-by-step instructions to locate and update DOM elements (e.g. <code>document.getElementById().textContent = ...</code>).<br><br><b>Declarative (Angular):</b> You declare the UI relationship once in the template, and Angular automatically updates the DOM when underlying class data changes."
"What is the main architectural difference between AngularJS (1.x) and modern Angular (2+)?","<b>AngularJS (1.x):</b> Based on Controllers, <code>$scope</code>, and JavaScript.<br><br><b>Modern Angular (2+):</b> Based on a Component-Tree architecture (Class + Template + Scoped Styles), TypeScript, and an improved change detection model."
"What does the CLI command <code>ng serve</code> do?","It builds the application, starts a local development server (default <code>http://localhost:4200</code>), and watches project files to automatically rebuild and live-reload the browser when changes are saved."
"What Angular CLI command generates a new component named <code>dessert-card</code>?","<code>ng generate component dessert-card</code><br>(or shortcut: <code>ng g component dessert-card</code>)"
"In modern standalone Angular, how do you make a child component <code>DessertCard</code> usable inside a parent component's template?","Import the <code>DessertCard</code> class directly into the <code>imports: [...]</code> array of the parent component's <code>@Component</code> decorator."
"What role does <code>src/index.html</code> play in an Angular application?","It is the single real HTML page loaded by the browser. Angular dynamically mounts and renders the root component (e.g., <code>&lt;app-root&gt;&lt;/app-root&gt;</code>) inside this file."
"What is the difference in scope between <code>src/styles.css</code> and a component's <code>dessert-card.css</code> file?","<b><code>src/styles.css</code>:</b> Defines global styles that apply across the entire application.<br><br><b><code>dessert-card.css</code>:</b> Styles are scoped exclusively to <code>DessertCard</code> via Angular's default <b>View Encapsulation</b>."
"What three main building blocks make up an Angular component?","1. <b>TypeScript Class:</b> Contains properties (data) and methods (logic).<br>2. <b>HTML Template:</b> Defines the view using Angular template syntax.<br>3. <b>CSS Styles:</b> Defines scoped styling for the component."
"What is the purpose of the <code>selector</code> property in the <code>@Component</code> decorator?","It specifies the custom HTML tag name (e.g., <code>selector: 'app-dessert-card'</code>) used in templates to instantiate and render that component (e.g., <code>&lt;app-dessert-card&gt;&lt;/app-dessert-card&gt;</code>)."
"List the four main types of data binding in Angular and their syntaxes.","1. <b>Interpolation:</b> <code>{{ value }}</code> (Class → Template text)<br>2. <b>Property Binding:</b> <code>[property]=""value""</code> (Class → Template DOM property)<br>3. <b>Event Binding:</b> <code>(event)=""handler()""</code> (Template → Class)<br>4. <b>Two-Way Binding:</b> <code>[(ngModel)]=""value""</code> (Class ↔ Template)"
"Why does <code>&lt;button disabled=""{{ isAvailable }}""&gt;</code> fail to disable/enable a button as expected?","Interpolation converts values to strings. In HTML, the mere presence of the <code>disabled</code> attribute (even as <code>""false""</code>) disables the button.<br><br><b>Solution:</b> Use Property Binding <code>[disabled]=""!isAvailable""</code> to pass the raw boolean value to the DOM property."
"What types of operations should NOT be placed inside template interpolation <code>{{ }}</code>?","Assignments (e.g. <code>x = 5</code>), side-effects, <code>new</code> expressions, or multi-statement logic.<br><br>Interpolation expects a single expression that evaluates to a displayable value."
"What is the purpose of the special <code>$event</code> variable in event binding <code>(input)=""onInput($event)""</code>?","<code>$event</code> passes the native DOM event object (or custom emitted payload) into the component method, allowing access to event details like <code>(event.target as HTMLInputElement).value</code>."
"What is the syntax for two-way data binding in Angular, and what is its popular visual mnemonic?","Syntax: <code>[(ngModel)]=""property""</code><br><br>Mnemonic: <b>""Banana in a box""</b> (parentheses <code>()</code> inside square brackets <code>[]</code>)."
"Which module must be imported for <code>[(ngModel)]</code> to work in Angular templates?","<code>FormsModule</code> (imported from <code>@angular/forms</code>)."
"What two bindings does <code>[(ngModel)]=""dessertName""</code> expand to under the hood?","It combines property binding and custom event binding:<br><code>[ngModel]=""dessertName"" (ngModelChange)=""dessertName = $event""</code>"
"What is the core difference between a Structural Directive and an Attribute Directive?","<b>Structural Directives (prefixed with <code>*</code>):</b> Add or remove elements directly from the DOM (e.g., <code>*ngIf</code>, <code>*ngFor</code>).<br><br><b>Attribute Directives (use <code>[]</code>):</b> Modify the appearance or behavior of an existing DOM element without altering DOM structure (e.g., <code>[ngClass]</code>, <code>[ngStyle]</code>)."
"What actually happens to an element in the DOM when <code>*ngIf=""false""</code> evaluates to false?","Angular completely <b>destroys and removes</b> the element (and its child components) from the DOM.<br><br>(Unlike CSS <code>display: none</code>, which leaves the element in the DOM tree)."
"How do you write an <code>*ngIf</code> directive with an <code>else</code> fallback template?","<code>&lt;p *ngIf=""desserts.length &gt; 0; else noDesserts""&gt;Available!&lt;/p&gt;</code><br><code>&lt;ng-template #noDesserts&gt;</code><br><code>  &lt;p&gt;No desserts available.&lt;/p&gt;</code><br><code>&lt;/ng-template&gt;</code>"
"Why can't you place both <code>*ngIf</code> and <code>*ngFor</code> directly on the exact same HTML element?","Angular prohibits multiple structural directives on a single element due to ambiguity in execution order.<br><br><b>Solution:</b> Wrap one directive in an <code>&lt;ng-container&gt;</code> block."
"In <code>*ngFor=""let dessert of desserts; let i = index""</code>, what does <code>let i = index</code> provide?","It exposes the current zero-based array index of the iteration as a local template variable named <code>i</code>."
"What is the purpose of <code>trackBy</code> in an <code>*ngFor</code> list iteration?","It provides Angular with a unique identifier (e.g., <code>dessert.id</code>) to track items. This allows Angular to reuse existing DOM elements when array references update, avoiding expensive full re-renders."
"What is the syntax for <code>ngClass</code> when toggling multiple classes based on conditions?","<code>[ngClass]=""{ 'sold-out': !dessert.available, 'featured': dessert.isFeatured }""</code>"
